Unable to find working sequences for clonotypes: 
>clonotype11_consensus_1: Could not find Primer Overlap that worked
>clonotype21_consensus_1: Could not find Primer Overlap that worked
>clonotype33_consensus_1: Could not find Primer Overlap that worked
>clonotype37_consensus_1: Could not find Primer Overlap that worked
>clonotype51_consensus_1: Could not find Primer Overlap that worked
>clonotype81_consensus_1: Could not find Primer Overlap that worked
>clonotype89_consensus_1: Could not find Primer Overlap that worked
>clonotype94_consensus_1: Could not find Primer Overlap that worked
>clonotype98_consensus_1: Could not find Primer Overlap that worked
>clonotype119_consensus_1: Could not find Primer Overlap that worked
>clonotype120_consensus_1: Could not find Primer Overlap that worked
>clonotype145_consensus_1: Could not find Primer Overlap that worked
>clonotype150_consensus_1: Could not find Primer Overlap that worked
>clonotype162_consensus_1: Could not find Primer Overlap that worked
>clonotype173_consensus_1: Could not find Primer Overlap that worked
>clonotype183_consensus_1: Could not find Primer Overlap that worked
>clonotype185_consensus_1: Could not find Primer Overlap that worked
>clonotype190_consensus_1: Could not find Primer Overlap that worked
>clonotype196_consensus_1: Could not find Primer Overlap that worked
>clonotype198_consensus_1: Could not find Primer Overlap that worked
>clonotype206_consensus_1: Could not find Primer Overlap that worked
>clonotype216_consensus_1: Could not find Primer Overlap that worked
>clonotype239_consensus_1: Could not find Primer Overlap that worked
>clonotype254_consensus_1: Could not find Primer Overlap that worked
>clonotype274_consensus_1: Could not find Primer Overlap that worked
>clonotype279_consensus_1: Could not find Primer Overlap that worked
>clonotype281_consensus_1: Could not find Primer Overlap that worked
>clonotype282_consensus_2: Could not find Primer Overlap that worked
>clonotype283_consensus_2: Could not find TRBV Overlap Primer that worked
>clonotype286_consensus_1: Could not find Primer Overlap that worked
>clonotype306_consensus_1: Could not find Primer Overlap that worked
>clonotype309_consensus_1: Could not find Primer Overlap that worked
>clonotype318_consensus_2: Could not find Primer Overlap that worked
>clonotype326_consensus_1: Could not find Primer Overlap that worked
>clonotype327_consensus_1: Could not find Primer Overlap that worked
>clonotype339_consensus_1: Could not find Primer Overlap that worked
>clonotype339_consensus_2: Could not find Primer Overlap that worked
>clonotype355_consensus_1: Could not find Primer Overlap that worked
>clonotype374_consensus_1: Could not find Primer Overlap that worked
>clonotype393_consensus_1: Could not find Primer Overlap that worked
>clonotype405_consensus_1: Could not find Primer Overlap that worked
>clonotype411_consensus_1: Could not find Primer Overlap that worked
>clonotype412_consensus_1: Could not find Primer Overlap that worked
>clonotype422_consensus_1: Could not find Primer Overlap that worked
>clonotype427_consensus_1: Could not find Primer Overlap that worked
>clonotype428_consensus_1: Could not find Primer Overlap that worked
>clonotype429_consensus_2: Could not find Primer Overlap that worked
>clonotype446_consensus_2: Could not find Primer Overlap that worked
>clonotype447_consensus_1: Could not find Primer Overlap that worked
>clonotype473_consensus_1: Could not find Primer Overlap that worked
>clonotype492_consensus_1: Could not find Primer Overlap that worked
>clonotype505_consensus_1: Could not find Primer Overlap that worked
>clonotype517_consensus_1: Could not find Primer Overlap that worked
>clonotype523_consensus_1: Could not find Primer Overlap that worked
>clonotype538_consensus_1: Could not find Primer Overlap that worked
>clonotype542_consensus_1: Could not find Primer Overlap that worked
>clonotype544_consensus_2: Could not find Primer Overlap that worked
>clonotype553_consensus_1: Could not find Primer Overlap that worked
>clonotype554_consensus_1: Could not find Primer Overlap that worked
>clonotype563_consensus_1: Could not find Primer Overlap that worked
>clonotype564_consensus_1: Could not find Primer Overlap that worked
>clonotype566_consensus_1: Could not find Primer Overlap that worked
